"CountryName","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR.FE","SE.PRM.NENR.FE","SE.PRM.CMPT.ZS","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.MA.IN","SP.PRM.TOTL.IN","SE.COM.DURS","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GDP.MKTP.CD","NY.GNP.PCAP.PP.CD","NY.GNP.PCAP.CD","UIS.XGDP.1.FSGOV","UIS.X.PPP.1.FSGOV","UIS.X.US.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.US.2T3.FSGOV","UIS.XGDP.56.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.5T8.FSGOV","SE.PRM.ENRR.MA","SE.PRM.ENRR","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","HD.HCI.OVRL.MA","HD.HCI.OVRL.FE","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.HLOS","HD.HCI.OVRL","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.EYRS","HD.HCI.MORT","HD.HCI.MORT.MA","HD.HCI.MORT.FE","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.AMRT","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.US.5T8.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","IT.NET.USER.P2","SL.TLF.ADVN.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.FE.ZS","SE.PRM.NENR.MA","SE.SEC.NENR","SE.PRM.NENR","SE.SEC.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.PRIV.ZS","SE.TER.PRIV.ZS","IT.CMP.PCMP.P2","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.POP.TOTL","SE.PRM.ENRL.TC.ZS","UIS.PTRHC.56","SE.SEC.ENRL.TC.ZS"
"Belize",7.37876,108.73155,94.99419,104.47448,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.11765,104.81835,22394,23210,47046,23270,23776,45604,8,4884.74242133376,8648.08879957291,1871203164.08274,7810,4470,2.31551,71.5539,41.83299,2.94807,91.10146,53.26121,0.69888,21.59677,12.62625,114.55032,111.69688,85.37246,87.11591,83.65849,24.65664,30.48455,18.81743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.55987,1389.07236,812.1019,27.31837,1339.70231,2291.51472,27.31742,1339.65554,2291.43473,47.0826258,82.7901992797852,87.4740982055664,78.7593002319336,96.47629,71.149,95.94237,68.98259,92.78032,70.35165,44.30769,NA,60959,29933,31026,196000,194000,390000,19.78332,13.94231,16.72317
"Benin",4.03814,117.95891,NA,80.74556,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.0318,85.33373,920984,947684,1816916,896737,920179,1868668,6,901.543871206357,2424.75584480555,10354274634.9108,2410,870,2.16988,487.02296,179.90841,1.03401,232.0805,85.73155,0.96491,216.57016,80.00196,125.84506,121.95825,59.04252,50.73183,67.14241,12.27414,7.46639,16.9937,0.408,0.403,384,384,384,0.406,8.85,9.78,9.32,0.9017,0.8963,0.9074,0.7858,0.7393,0.7627,9.15575,194.30658,71.7777,10.83762,84.96295,229.99987,72.97773,572.11849,1548.75945,20,66.1744995117188,69.8760986328125,56.0946006774902,NA,46.58049,97.21103,53.18202,25.34746,15.64533,26.55693,NA,1823547,898763,924784,5910000,5891000,11801000,39.19712,29.48773,10.99168
"Bermuda",1.50039,100.19871,90.61033,91.57303,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.51381,98.93333,1825,1891,4913,2410,2503,3716,13,85748.0654143782,52547.3330901036,5573710000,66810,106140,0.4825,18.22989,29.56363,0.66609,26.99676,42.67715,0.25484,11.10352,18.119,102.06037,101.14634,76.95238,81.4513,72.61504,19.02726,22.90533,15.28361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05056,4446.31539,7128.91922,11.92934,10563.65,6595.83756,23.92178,16352.88809,10021.22501,98.37,NA,NA,NA,94.744,72.76762,92.71386,67.61204,37.66578,43.36634,0,NA,8812,4322,4490,NA,NA,63973,10.4196,14.53061,6.33229
"Bhutan",6.64043,100.22383,88.54243,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.40112,95.71901,44455,45851,83434,40929,42505,90306,NA,3243.23112508014,10167.934056686,2446674101.3737,9250,2970,1.88734,105.8677,33.94069,3.03795,183.60956,60.05845,0.60972,34.20132,10.96478,100.05804,100.13968,90.09468,95.71011,84.70749,15.55451,15.49214,15.61055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.84915,1014.80686,325.34239,29.42942,809.11861,2473.62233,50.69012,1283.48168,4003.43165,48.10641588,NA,NA,NA,87.52499,70.19893,88.02597,64.10904,4.23241,10.27014,24.2716,NA,NA,NA,NA,358000,405000,763000,34.66868,15.59269,10.81456
"Bolivia",NA,97.64904,92.7218,94.83978,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.22059,95.4334,688488,718775,1379790,675750,704040,1407263,14,3548.59013979338,7873.16624301,40287647756.8741,7670,3370,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.63172,98.15092,89.72425,88.75827,90.65176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.83227607,79.4982986450195,86.9888000488281,72.8665008544922,92.97549,76.55438,92.85137,76.15256,10.27664,11.49912,NA,NA,3255298,1593347,1661951,5733000,5780000,11513000,17.79827,NA,18.49627
"Bosnia and Herzegovina",NA,NA,NA,NA,406.384407914433,405.057103355608,407.647903423194,402.977821260903,418.17613023497,388.510158205113,398.497662699098,398.798292197763,398.211485710676,NA,NA,NA,NA,NA,NA,NA,NA,9,6065.67270824158,14623.6740532923,20161865419.4327,14580,5740,NA,NA,NA,3.37963,1467.62579,571.60832,0.74967,325.54673,126.79337,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.627,460,461,461,0.618,11.78,11.66,11.71,0.9943,0.9938,0.9948,0.9372,0.8764,0.9063,NA,NA,NA,43.51293,2173.33304,5580.11402,23.73047,1185.26169,3043.2038,70.12013504,74.5967025756836,72.0765991210938,77.1587982177734,NA,NA,NA,NA,1.60748,2.74793,21.46371,NA,NA,NA,NA,1684000,1617000,3301000,16.92651,9.3736,9.1229
"Botswana",NA,102.06448,88.10205,100.66117,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.38184,98.97317,176705,180481,229743,113595,116148,357186,NA,8258.64166574691,18615.7933362283,18616018903.4434,18000,7750,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.38555,103.23839,NA,NA,NA,24.85997,29.24466,20.48172,0.393,0.446,401,381,391,0.424,8.81,8.02,8.41,0.9624,0.9591,0.966,0.8366,0.7492,0.7942,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,72.4400024414063,75.1399993896484,69.620002746582,87.22083,NA,87.65678,NA,7.39021,NA,38.30394,NA,NA,NA,NA,1190000,1114000,2304000,23.71279,18.25175,NA
"Brazil",6.24106,113.40708,94.68207,NA,383.56912410618,379.269456136934,387.871670408919,412.87331668525,425.71064817308,400.027391482409,403.620942039241,404.389102013817,402.852267834125,NA,NA,6804174,7147418,22928395,11226123,11702272,13951592,14,8920.76210462979,16096.4009621464,1868626087908.48,15850,9140,1.59865,51692.25321,28811.13078,2.58198,83487.95482,46532.744,1.33896,43295.03756,24130.86898,117.3906,115.44784,100.82772,102.41526,99.30478,51.3436,59.44738,43.52913,NA,NA,409,408,408,0.56,NA,NA,11.69,0.9852,0.9835,0.987,0.9077,0.8114,0.8594,20.05496,3171.46615,1767.64448,21.52655,1897.35062,3404.18185,33.04323,2912.43036,5225.41406,67.47128452,81.3693008422852,86.8369979858398,77.4311981201172,94.77706,81.72855,96.29925,80.33465,17.77237,13.74407,73.33067,NA,42178564,20609790,21568774,107316000,103733000,211050000,20.22308,19.2394,16.72391
"British Virgin Islands",2.35899,125.92593,94.04601,95.49763,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.14634,96.77419,1122,1220,2178,1064,1114,2342,12,NA,NA,NA,NA,NA,0.70432,NA,NA,0.82733,NA,NA,0.82733,NA,NA,131.50074,128.82535,101.57658,107.05775,96.27989,16.25409,20.9434,11.65587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24826,NA,NA,10.85147,NA,NA,40.0368,NA,NA,NA,NA,NA,NA,94.17098,68.10811,91.05875,64.48184,29.81404,17.56098,0,NA,4677,2263,2414,NA,NA,NA,11.61672,5.4375,8.70656
"Brunei Darussalam",4.42541,103.59343,NA,107.97872,430.112962267376,433.947562158454,426.352127600862,408.069944019334,423.082610367259,393.346072522476,430.984376616659,434.554177654359,427.483246935207,108.37766,107.60325,18954,20243,46342,22495,23847,39197,9,31628.3287914349,80920.0486841005,13567351175.0315,82180,29660,0.86396,287.40866,111.71384,2.69261,895.73176,348.16499,0.83616,278.15904,108.11858,102.73785,103.15162,93.48278,94.59945,92.43452,31.39258,38.71807,24.78856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.87354,7114.60405,2765.39941,23.64457,7368.72722,18957.68705,31.92784,9950.17262,25599.02856,94.60004747,84.1206970214844,84.8564987182617,83.4897994995117,NA,82.64549,93.14673,81.32889,41.18869,15.5244,12.78793,NA,57792,28006,29786,208000,225000,433000,9.89521,12.41771,8.26843
"Bulgaria",4.07685,89.05228,86.31274,89.81647,436.04057099732,436.904265904042,435.277237961018,419.844005964249,441.256783354017,400.919406255051,424.073582875218,432.168172618318,416.919589354904,89.12433,90.47046,145411,153454,520558,252314,268244,298865,11,9272.62930360848,21960.3699424605,65132951116.4756,22300,8860,0.80299,966.72665,446.1041,1.58638,1909.84905,881.31583,0.64888,781.18538,360.48453,89.60018,89.33377,98.18347,96.82399,99.4624,71.03066,78.82418,63.71405,0.648,0.707,506,490,498,0.676,12.86,12.98,12.92,0.9925,0.9918,0.9933,0.9185,0.8175,0.8665,22.4421,3718.8867,1716.11138,21.816,1668.23469,3615.13586,16.14062,1234.24757,2674.66723,64.78201069,74.2959976196289,76.8868026733398,72.5799026489258,86.57095,89.05757,86.4454,90.18541,1.29753,2.86849,13.59463,NA,774346,376163,398183,3584000,3385000,6970000,15.20744,11.24677,12.63651
"Burkina Faso",6.03609,95.27731,77.69237,65.47893,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.46311,62.60221,1680533,1740168,3248868,1593307,1655561,3420701,10,715.12290404614,1984.8843059546,14124775068.569,1970,670,2.41082,744.36779,251.19109,1.13098,373.97078,123.123,1.78555,590.40975,194.38155,96.87565,96.09037,40.70973,40.73,40.69022,6.50187,4.76497,8.18674,0.354,0.36,400,407,404,0.369,6.44,6.57,6.5,0.9188,0.9147,0.9231,0.7673,0.7353,0.7526,15.96793,272.2308,91.86581,18.51785,108.11323,328.38045,351.3087,2051.05482,6229.82344,16,58.2163009643555,63.4192008972168,48.0900993347168,79.56541,31.00148,78.64517,30.33627,20.29641,39.8791,22.15332,NA,5227838,2566461,2661377,10174000,10148000,20321000,39.72173,17.32014,23.11995
"Burundi",5.01084,122.17842,94.09198,63.02139,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.89185,58.17401,925910,933982,1654835,827094,827741,1859892,NA,271.752044376648,744.182072008071,3036931818.18182,750,280,2.72369,204.99233,66.77465,1.60778,121.00627,39.41685,1.45289,109.34885,35.61954,120.67049,121.42156,48.46502,51.08968,45.84184,6.05016,3.7548,8.36978,0.374,0.387,432,415,423,0.38,7.31,7.72,7.51,0.9388,0.9343,0.9437,0.7427,0.6852,0.7142,12.81725,101.11452,32.93727,30.84643,79.26792,243.34556,308.79845,793.53792,2436.09178,2.660748535,76.0796966552734,78.1378021240234,71.8392028808594,91.52725,27.52277,92.8047,24.03288,2.04138,7.19755,59.69477,NA,NA,NA,NA,5812000,5719000,11531000,42.52383,19.79602,26.59842
"Cabo Verde",5.17322,100.4555,92.55145,87.29021,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3386,85.26542,30668,31377,60249,30014,30235,62045,10,3635.40684982339,7454.06391681042,1976814276.50792,7280,3420,1.97071,74.43346,34.90596,2.06559,78.01685,36.58641,0.88726,33.51178,15.71553,107.5302,104.02797,88.15511,92.49768,83.85197,23.61651,28.34652,19.04477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65962,1170.66877,548.99127,19.66117,647.90263,1381.58732,38.31764,1262.69692,2692.57443,58.17137201,70.6100006103516,73.4899978637695,68.4800033569336,94.27525,70.42826,93.42191,66.42105,1.36448,7.44448,55.74234,NA,102395,50836,51559,274000,276000,550000,21.07361,7.98015,15.42052
"Cambodia",2.16286,106.07808,90.19264,87.99948,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2572,85.82246,990121,1041481,1784532,885372,899160,2031602,NA,1510.3248705764,4360.85440445566,24542474061.2426,4070,1390,0.92518,466.43002,154.52853,0.84111,424.04968,140.4879,0.12508,57.76442,19.0477,108.68614,107.41485,NA,NA,NA,13.68776,12.93279,14.4196,NA,NA,NA,NA,452,0.493,9.7,9.4,9.55,0.9708,0.9675,0.9743,0.8655,0.7978,0.8332,5.3237,175.71491,58.21445,NA,NA,NA,5.25497,46.36332,139.68042,40,79.659797668457,81.5721969604492,76.8584976196289,90.33487,NA,90.26554,NA,5.20641,NA,64.41291,NA,NA,NA,NA,8439000,8047000,16487000,41.7035,13.87721,NA
"Cameroon",3.14529,98.0121,88.71914,64.47068,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.21668,67.67905,2063190,2097554,4016393,1996427,2019966,4160744,6,1533.74213975885,3785.07997826904,38675205293.0462,3700,1440,0.93778,652.93036,303.3559,1.41745,920.15161,412.54214,0.28254,196.71683,91.39598,108.7065,103.40212,60.05816,55.44308,64.62172,12.76025,11.44435,14.06749,0.395,0.393,383,376,379,0.394,8.65,9.47,9.07,0.916,0.9105,0.9217,0.6826,0.6591,0.6709,5.44964,164.65602,73.82213,17.7737,240.76667,537.01628,19.36118,283.68428,610.59,23.20297197,77.355598449707,80.4166030883789,72.0829010009766,96.96492,45.99349,92.87395,48.92577,22.52487,28.25983,18.16378,NA,4063735,2015599,2048136,12936000,12940000,25876000,44.83412,52.28042,19.25706
"Canada",5.27444,100.81914,NA,NA,512.016942823931,509.54625248018,514.451017261465,520.085520926521,534.669187022361,505.726865157686,517.99766075567,519.559362359787,516.460472925651,NA,NA,1164955,1219187,2325778,1133839,1191939,2384142,10,46232.9896226967,48130.2559725043,1713341704877.01,47590,44940,1.83701,29714.81073,33093.41479,1.39268,18949.00427,22471.44587,1.61812,25747.56651,25127.78595,101.06244,100.94368,113.76286,114.52064,113.04668,68.92251,79.29239,59.06871,0.79,0.808,539,535,537,0.799,13.66,13.68,13.67,0.9949,0.9945,0.9953,0.9531,0.9287,0.9408,17.56737,8018.72443,8930.46152,18.32883,8697.09015,7333.80484,31.44008,13674.88136,14012.17434,91,74.6698989868164,77.4086990356445,72.0987014770508,NA,99.80968,99.8825,99.62981,6.22496,8.06006,NA,NA,3884643,1895302,1989341,18829000,18545000,37375000,NA,9.17398,NA
"Caribbean small states",NA,97.29676,87.76584,90.84398,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.90475,90.78462,353309,365619,632321,310828,321493,718928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0255,98.68449,86.47735,89.03225,84.0072,23.06284,29.46304,16.86032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.0201,74.27317,87.89515,71.72989,29.72503,15.26397,NA,NA,810965,398850,412115,NA,NA,NA,18.92805,NA,15.1103
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,81124.5134794821,72607.570767153,5141833913.35653,43550,47140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.06769325,85.9499969482422,88.7099990844727,83.7699966430664,NA,NA,NA,NA,43.75436,34.3786,NA,NA,NA,NA,NA,NA,NA,65000,15.74725,NA,10.9653
"Central African Republic",1.10792,89.3694,58.95938,40.87417,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8342,48.87702,406764,410914,840173,419318,420855,817678,10,475.721250544318,859.935619639664,2219894701.95124,920,490,0.59528,25.12904,12.74208,0.26817,11.32044,5.74021,0.30237,13.5771,7.36196,114.56074,102.0189,17.13538,13.77755,20.48121,2.9803,1.60102,4.36418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10032,39.45703,20.00731,NA,NA,NA,100.5374,553.98927,1021.67968,4.339254945,NA,NA,NA,73.58041,12.71989,66.29549,15.72045,16.73034,23.53385,23.80164,NA,1302038,648547,653491,2393000,2352000,4745000,83.41195,34.60677,31.63737
"Central Europe and the Baltics",NA,96.89761,91.3643,99.67159,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.15481,99.21373,2704704,2850722,7165804,3491218,3674586,5555426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.12183,97.01267,101.88371,101.29758,102.44059,61.51065,72.23063,51.35043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.23939,89.73885,91.3002,89.42803,4.77884,8.57142,NA,NA,10563688,5143337,5420351,NA,NA,NA,12.66168,NA,10.02635
"Chad",2.24185,75.46867,64.07191,41.32026,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.02814,49.58732,1380212,1387758,2614385,1304774,1309611,2767970,10,728.343235359289,1968.25826164116,11273115239.4255,1930,670,1.03028,261.8645,127.42534,0.70448,192.58477,91.22915,0.9037,247.04582,117.02785,98.17932,86.84687,22.5566,14.15964,30.89157,3.2513,1.45916,5.03183,0.298,0.289,323,338,333,0.293,4.3,5.6,4.95,0.8768,0.8701,0.8839,0.6646,0.6199,0.6423,6.30003,125.24859,60.94696,17.73265,173.69736,366.67517,186.65421,1835.64562,3458.587,6.49999812,NA,NA,NA,82.19736,18.8551,73.15289,25.37613,12.18996,15.49676,20.08082,NA,4221666,2106252,2115414,7986000,7961000,15947000,56.88788,26.38549,27.13412
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87000,85000,172000,NA,NA,NA
"Chile",5.40274,99.94247,94.76194,94.75356,417.406556233565,413.626757549314,421.091791810278,452.27255409198,462.302439817638,442.493596323522,443.582563387665,441.811225794139,445.309585608513,94.13013,95.35554,745187,771767,1482882,728770,754112,1516954,12,15923.3587375381,25222.5277771449,298231133532.749,24190,14670,1.50778,6753.16848,4187.81566,1.53818,6889.30074,4272.23482,1.35899,6086.72433,3774.53628,102.86622,101.43016,101.83142,102.02842,101.64105,88.46442,94.66281,82.46128,0.667,0.682,465,467,466,0.674,12.93,12.77,12.85,0.9926,0.992,0.9932,0.9346,0.8939,0.9141,18.38536,4458.24027,2764.6709,18.68243,2809.34267,4530.27685,20.25927,3046.45735,4912.64215,82.32748693,82.5606002807617,87.6426010131836,77.2024002075195,94.72014,88.65187,94.74067,87.45981,62.81882,61.89539,84.35606,NA,2994180,1471132,1523048,9610000,9342000,18952000,17.79358,NA,18.36688
"China",NA,100.83158,NA,NA,591.393596878513,585.753110623896,596.553872232353,555.236243587507,561.888883049606,549.149986143629,590.452640080788,584.154267355097,596.214791795824,NA,NA,47336690,55017500,99113911,45986120,53127791,102354190,9,9770.84708783314,18236.6129816498,13608151864637.9,18170,9460,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.69995,100.22275,88.1734,88.01268,88.31697,50.60444,55.88122,45.92842,0.657,0.674,456,456,456,0.673,13.32,13.19,13.25,0.9907,0.9901,0.9913,0.9339,0.9092,0.9212,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3,NA,NA,NA,NA,NA,NA,NA,7.99203,12.82316,14.49439,NA,150999840,69835071,81164769,680392000,716903000,1397295000,16.42675,19.48791,13.25879
"Colombia",4.50259,112.75912,93.16194,106.46328,390.932273740346,381.36527504906,400.887169388085,412.295085675563,417.356222078505,407.028743913005,413.322992973877,407.285406377695,419.605375408393,105.75733,107.13886,1828191,1912117,4869102,2381929,2487173,3740308,12,6667.7906995498,15012.9302675399,331047040087.878,14480,6180,1.47278,10967.84276,4863.5348,1.71357,12761.02601,5658.69657,1.04976,7817.60161,3466.60491,116.21716,114.52666,97.50623,100.09145,95.03002,55.32749,59.72434,51.09034,0.579,0.609,423,425,424,0.593,12.6,12.37,12.48,0.9853,0.9836,0.987,0.9128,0.8126,0.8621,16.98989,2548.38948,1130.04729,17.64699,1173.75286,2646.95068,21.64385,1439.59547,3246.45702,62.25988032,77.4400024414063,81.9496994018555,73.7581024169922,92.68858,77.47078,92.91999,74.88658,19.69512,20.44072,49.74521,NA,9439003,4616014,4822989,25626000,24713000,50339000,23.3015,14.8453,25.91073
"Comoros",2.48708,99.42279,80.68777,76.72008,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.23447,76.22284,62641,64898,126508,62213,64295,127539,6,1415.26362231562,2913.38730578137,1177955048.65299,2930,1380,1.35825,28.12845,13.42153,0.68875,14.2636,6.80589,0.25895,5.36263,2.55879,99.58758,99.50663,59.46886,61.41451,57.58629,8.99478,8.04879,9.91274,0.409,0.41,387,400,392,0.409,8.27,8.63,8.45,0.931,0.9257,0.9366,0.8032,0.7523,0.7775,9.75717,260.40859,147.51043,8.48165,128.22694,226.36634,24.82556,375.31675,662.56808,8.478170295,81.1984024047852,85.0880966186523,75.6045989990234,80.81761,50.35748,80.75383,49.09022,18.58983,55.01187,NA,NA,124856,61329,63527,422000,429000,851000,28.05781,26.31174,8.30834
"Congo, Dem. Rep.",1.45495,107.57629,NA,69.91117,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.33311,69.49427,7283644,7400823,11647043,5790290,5856753,14684467,6,561.777182390425,932.172006786861,47227535290.9218,900,490,1.27019,696.69184,415.09361,0.29613,162.42797,96.77566,0.51669,316.10889,185.53732,108.37228,107.97708,46.16579,35.98096,56.263,6.60334,4.73101,8.46606,0.367,0.37,316,320,318,0.369,8.86,9.51,9.19,0.9089,0.9021,0.916,0.7726,0.7238,0.7482,7.19307,55.28916,32.94165,5.28871,24.22037,40.65139,72.92908,333.98873,560.56565,8.619904916,63.7084007263184,70.3891983032227,48.746898651123,NA,NA,NA,NA,12.58465,18.46955,33.97643,NA,14187970,7038889,7149081,43471000,43319000,86791000,33.19793,15.3402,14.24161
"Congo, Rep.",3.63639,110.50568,91.64617,71.60604,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.90188,67.35239,425937,432879,806046,400816,405230,858816,10,2147.76946104594,5662.06341112502,11263682694.0393,5060,1640,1.92834,429.73818,231.55289,3.31765,739.35185,398.37991,0.70545,184.82699,99.36838,102.82062,106.64006,52.59282,48.81208,56.34437,12.66688,10.1462,15.17202,0.392,0.411,369,372,371,0.42,8.97,8.62,8.8,0.9525,0.9484,0.9568,0.7702,0.7349,0.7524,11.68812,609.4773,328.40049,NA,NA,NA,88.05028,2682.94884,4990.33385,8.65,NA,NA,NA,84.16448,NA,87.88284,NA,31.07341,NA,33.14241,NA,1304590,647683,656907,2693000,2687000,5381000,44.442,12.20142,18.67603
"Costa Rica",7.02824,113.80664,96.29905,98.59437,402.330558607212,393.602715975528,411.269947680742,426.498225007361,433.603075532386,419.221166307665,415.622462110576,410.980991708659,420.376432999714,99.14283,98.07056,208957,218875,356750,174320,182430,427832,13,12027.3658826316,17671.0953526733,60130106115.6294,16700,11520,2.01534,1777.84582,1211.74423,2.01566,1778.12935,1211.93748,1.62608,1434.45334,977.69478,112.80511,113.29429,132.81693,137.74952,128.10262,55.20794,60.68018,49.95982,0.597,0.621,426,433,430,0.619,12.63,12.33,12.48,0.991,0.9902,0.9919,0.9421,0.8929,0.9172,20.82721,3674.98153,2504.79408,21.14089,2542.51907,3730.33086,37.51487,4511.74331,6619.53551,74.08680223,78.7008972167969,83.0610961914063,74.7610015869141,96.38346,82.44799,97.33255,80.66948,8.91002,8.7497,49.15182,NA,929195,453918,475277,2525000,2523000,5048000,12.2047,NA,12.42779
"Cote d'Ivoire",4.36816,95.97512,86.60521,71.5999,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.68261,78.49423,1987331,2003967,4078046,2038413,2039633,3991298,10,1715.53133212649,4207.08693435064,43007047821.7541,4020,1600,2.06588,2175.00536,888.4726,1.53408,1615.11604,659.76222,0.61276,645.12368,263.52795,103.59597,99.79975,51.02666,44.34893,57.71112,9.34137,7.6355,11.06148,0.325,0.323,371,375,373,0.353,6.55,7.54,7.04,0.9112,0.9032,0.9197,0.6356,0.5938,0.6139,13.24047,556.05573,227.1444,18.29087,313.78554,768.15562,150.17056,2338.43029,5889.25872,46.82372708,42.013599395752,47.1771011352539,31.1870994567871,94.02388,40.19814,90.32837,45.34263,14.48051,50.62445,42.6471,NA,6274602,3129161,3145441,12742000,12974000,25717000,41.8223,11.67438,27.28114
