"CountryName","SE.XPD.TOTL.GD.ZS","SE.PRM.ENRR.FE","SE.PRM.NENR.FE","SE.PRM.CMPT.ZS","LO.PISA.MAT","LO.PISA.MAT.FE","LO.PISA.MAT.MA","LO.PISA.REA","LO.PISA.REA.FE","LO.PISA.REA.MA","LO.PISA.SCI","LO.PISA.SCI.FE","LO.PISA.SCI.MA","SE.PRM.CMPT.FE.ZS","SE.PRM.CMPT.MA.ZS","SP.PRM.TOTL.FE.IN","SP.PRM.TOTL.MA.IN","SP.SEC.TOTL.IN","SP.SEC.TOTL.FE.IN","SP.SEC.TOTL.MA.IN","SP.PRM.TOTL.IN","SE.COM.DURS","NY.GDP.PCAP.CD","NY.GDP.PCAP.PP.CD","NY.GDP.MKTP.CD","NY.GNP.PCAP.PP.CD","NY.GNP.PCAP.CD","UIS.XGDP.1.FSGOV","UIS.X.PPP.1.FSGOV","UIS.X.US.1.FSGOV","UIS.XGDP.23.FSGOV","UIS.X.PPP.2T3.FSGOV","UIS.X.US.2T3.FSGOV","UIS.XGDP.56.FSGOV","UIS.X.PPP.5T8.FSGOV","UIS.X.US.5T8.FSGOV","SE.PRM.ENRR.MA","SE.PRM.ENRR","SE.SEC.ENRR","SE.SEC.ENRR.FE","SE.SEC.ENRR.MA","SE.TER.ENRR","SE.TER.ENRR.FE","SE.TER.ENRR.MA","HD.HCI.OVRL.MA","HD.HCI.OVRL.FE","HD.HCI.HLOS.FE","HD.HCI.HLOS.MA","HD.HCI.HLOS","HD.HCI.OVRL","HD.HCI.EYRS.FE","HD.HCI.EYRS.MA","HD.HCI.EYRS","HD.HCI.MORT","HD.HCI.MORT.MA","HD.HCI.MORT.FE","HD.HCI.AMRT.FE","HD.HCI.AMRT.MA","HD.HCI.AMRT","UIS.XUNIT.GDPCAP.1.FSGOV","UIS.XUNIT.PPP.1.FSGOV.FFNTR","UIS.XUNIT.US.1.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.23.FSGOV","UIS.XUNIT.US.23.FSGOV.FFNTR","UIS.XUNIT.PPP.2T3.FSGOV.FFNTR","UIS.XUNIT.GDPCAP.5T8.FSGOV","UIS.XUNIT.US.5T8.FSGOV.FFNTR","UIS.XUNIT.PPP.5T8.FSGOV.FFNTR","IT.NET.USER.P2","SL.TLF.ADVN.ZS","SL.TLF.ADVN.MA.ZS","SL.TLF.ADVN.FE.ZS","SE.PRM.NENR.MA","SE.SEC.NENR","SE.PRM.NENR","SE.SEC.NENR.MA","SE.PRM.PRIV.ZS","SE.SEC.PRIV.ZS","SE.TER.PRIV.ZS","IT.CMP.PCMP.P2","UIS.SAP.CE","UIS.SAP.CE.F","UIS.SAP.CE.M","SP.POP.TOTL.FE.IN","SP.POP.TOTL.MA.IN","SP.POP.TOTL","SE.PRM.ENRL.TC.ZS","UIS.PTRHC.56","SE.SEC.ENRL.TC.ZS"
"Aruba",6.1899,115.20468,NA,101.18056,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.55587,100.81855,3824,3949,7131,3512,3619,7773,13,25630.2664922069,39454.6298306781,2700558659.21788,36960,23630,1.70382,68.59706,45.09899,2.05787,82.85105,54.47024,1.13842,45.83335,30.13304,118.93408,117.10809,111.15977,112.14575,110.20621,15.59921,20.69792,10.66735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.51788,6313.69063,4217.60433,25.09327,6201.47569,8907.85645,98.06787,24751.93889,37648.52226,97.17,NA,NA,NA,NA,76.94634,99.23471,73.36425,73.42095,92.38391,48.95046,NA,17521,8616,8905,56000,50000,106000,14.78869,8.56835,15.09369
"Australia",5.27163,100.33393,96.74048,NA,491.360025242637,488.296647171672,494.323797522796,502.63172442266,518.5720840111,487.209665901138,502.964562882438,502.168470229204,503.734770569324,NA,NA,1105481,1164597,1828813,891648,937165,2270078,10,57373.6866841281,51663.3650948449,1433904348500.12,50050,53230,1.73917,19921.98186,21044.40239,1.64877,18886.4947,19950.57505,1.41409,16198.30747,17110.93318,100.34376,100.33898,150.31148,141.16537,159.00876,113.14216,133.33777,93.83847,0.779,0.805,528,520,524,0.803,13.78,13.76,13.77,0.9965,0.9962,0.9968,0.9614,0.9355,0.9484,19.30184,9139.82768,9654.77295,14.98139,7493.68597,7094.00406,17.82954,8918.33119,8442.66465,86.54504885,82.5800018310547,88.0299987792969,78.25,96.04001,92.28431,96.38096,91.89515,29.81308,40.58939,15.52789,NA,3121384,1520051,1601333,12702000,12601000,25303000,NA,NA,NA
"Austria",5.5007,102.96837,89.691,99.45318,498.942313799593,492.200906276095,505.483565972367,484.392568511997,498.652688459726,470.555837789672,489.780439531409,488.628862893912,490.897825352675,100.0429,98.89478,160632,171131,689708,334708,355000,331763,13,51461.9547804677,55454.689293289,455285818035.125,55300,49310,0.91312,4120.9051,3598.19439,2.17984,9837.5405,8589.71082,1.78711,8065.15616,7042.1422,103.2499,103.11315,100.45521,98.3281,102.47356,85.05714,92.4615,78.0511,0.785,0.798,524,526,525,0.793,13.79,13.94,13.89,0.9964,0.9961,0.9968,0.9581,0.9145,0.936,23.48041,12128.92421,10590.44702,27.72044,12502.8428,14319.13425,36.23652,16343.87629,18718.15574,87.71046495,76.7076034545898,76.6192016601563,76.8061981201172,88.03688,87.00131,88.61718,86.88993,6.21303,10.39237,18.48787,NA,1098306,533337,564969,4500000,4365000,8865000,10.01653,7.18354,9.32983
"Azerbaijan",2.47382,100.01462,92.24746,100.21995,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.64121,99.85738,294123,342800,1000450,467278,533172,636923,10,4721.17808673142,18044.1367837983,46939529411.7647,17100,4050,NA,NA,NA,NA,NA,NA,0.40576,700.72654,165.81623,99.47112,99.7221,94.48008,94.53944,94.42806,27.7085,29.69345,25.90973,NA,NA,479,466,472,0.597,NA,NA,11.58,0.977,0.9746,0.9795,0.9158,0.8273,0.8723,NA,NA,NA,NA,NA,NA,19.39114,804.16804,3398.35179,79.79999549,NA,NA,NA,92.57672,88.53256,92.42467,88.86419,0.70141,12.89057,8.38198,NA,1429117,663408,765709,5024000,5008000,10032000,15.42982,9.92033,7.60984
"Bahamas, The",NA,81.15878,75.13181,76.45863,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.85179,78.07403,17328,17728,38620,19385,19235,35056,12,32217.871590084,32087.7291547443,12424500000,30330,30520,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.56106,81.36117,69.47309,71.61021,67.31877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,73.3337,62.4958,74.22717,59.92424,22.66811,28.35516,NA,NA,74960,37445,37515,2e+05,189000,389000,19.44891,NA,12.48097
"Bahrain",2.32721,98.75316,95.85031,97.87412,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.27618,96.51583,58346,59803,105036,49212,55824,118149,9,24050.7575053956,47303.0485062895,37746196808.5106,44700,21890,0.88012,566.42176,273.94407,1.17995,759.38584,367.26916,0.60447,351.94259,196.69339,99.96532,99.36305,98.59907,101.69599,95.81735,50.4819,67.84063,36.99245,0.641,0.699,470,434,452,0.668,13.41,13.16,13.28,0.9927,0.9924,0.9929,0.9428,0.9275,0.9331,11.16362,5237.17806,2532.9074,17.50832,3972.45295,8213.6613,21.4294,5302.56614,9487.85758,98.64342901,NA,NA,NA,97.56867,90.19346,96.71489,86.97008,36.91143,25.5549,32.06275,NA,167646,81969,85677,586000,1055000,1641000,11.92315,21.85798,10.23948
"Bangladesh",1.98602,120.75175,NA,67.83219,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.76452,64.05395,7244107,7555824,21652947,10582466,11070481,14799931,5,1698.26280233547,4371.75498582046,274024958965.892,4570,1750,0.97034,3839.47292,1248.22154,0.98778,5768.4851,2187.1023,0.51099,2984.07075,1131.40069,112.35745,116.46634,72.6906,78.27073,67.35348,20.56507,16.98329,24.01696,0.465,0.492,370,367,368,0.479,11.33,10.66,11.03,0.9676,0.9653,0.97,0.8962,0.8543,0.8748,NA,NA,NA,9.88363,138.53101,365.3757,29.90388,419.13897,1105.47957,15,79.6378021240234,89.6835021972656,56.7209014892578,NA,66.54968,90.53203,61.06971,23.90352,93.89963,35.78867,NA,14886790,7286878,7599912,80572000,82474000,163046000,30.05459,37.11937,35.09524
"Barbados",4.65652,97.46608,95.73025,88.74687,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.92072,87.61593,9768,10060,18617,9074,9543,19828,11,17949.2815054371,18554.1292823844,5.145e+09,16280,15410,1.50777,75.33276,69.11846,2.00178,100.01499,91.76461,1.329,68.47457,60.1913,101.18148,99.35135,103.7039,105.75289,101.76398,65.42534,90.57161,40.33463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.75168,3633.82169,3334.0628,28.03908,4504.89026,4909.91589,41.67439,6641.64121,6574.05815,81.76077839,NA,NA,NA,97.62735,93.63078,96.69287,90.61275,13.5325,6.69358,NA,NA,39222,19202,20020,148000,139000,287000,13.9917,NA,17.93859
"Belarus",4.79499,100.38261,94.80403,104.61791,471.865144277411,468.608845369959,474.870446287595,473.788446933152,485.618047194897,462.870677263748,471.263680793452,469.739815993574,472.670085449929,104.64495,104.59228,213390,226328,645882,314278,331604,439718,9,6289.93855308212,19994.8040788005,59662495092.2654,19240,5670,NA,NA,NA,2.41949,4347.05475,1324.10181,0.79014,1419.62882,432.41532,100.61128,100.50021,102.43953,101.69074,103.14892,87.42909,95.09214,80.17624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.66614,2054.99292,6746.58601,17.92244,1032.64594,3390.19887,79.12988669,NA,NA,NA,95.04628,95.63948,94.92861,95.12669,0.10754,0.46092,7.29567,NA,887726,431568,456158,5060000,4407000,9467000,19.23259,13.86492,8.56276
"Belgium",6.54513,103.9583,98.87476,NA,508.070306356471,502.046829789884,514.131599431072,492.864438603842,503.687234727249,481.973694950164,498.77312723922,496.370478984345,501.190859767434,NA,NA,390127,411971,764858,372583,392275,802098,12,47518.6360388914,51407.9983373414,542761092103.469,51740,45910,1.5585,8338.05254,7319.93538,2.79739,13614.14476,14572.29878,1.45855,7803.2999,6850.47867,103.85522,103.90557,158.54185,167.78577,149.71961,79.66173,90.46261,69.28979,0.749,0.766,518,521,519,0.757,13.45,13.37,13.41,0.9962,0.9958,0.9967,0.947,0.9119,0.9291,21.86877,10325.16153,9064.40861,NA,11428.40772,10676.97002,32.13881,13321.24562,15174.07464,88.65506428,75.0718002319336,75.5196990966797,74.6849975585938,98.65984,94.94691,98.76482,94.81871,54.43437,58.69543,61.92991,NA,1550783,756254,794529,5799000,5683000,11483000,11.27695,16.95452,8.98821
